id,chain,co_owned,state,emp_diff,wage_st,wage_st2,hrsopen,hrsopen2,fte,fte2,meal_price,meal_price2
56,Wendy's,1,PA,-14,5,5.25,12,12,34,20,3.48,2.58
61,Wendy's,1,PA,11.5,5.5,4.75,12,12,24,35.5,3.29,2.8
445,Burger King,0,PA,-41.5,5,4.75,18,18,70.5,29,2.86,2.84
451,Burger King,0,PA,13,5,5,24,24,23.5,36.5,2.85,2.89
455,KFC,1,PA,0,5.25,5,10,11,11,11,3.78,4.1
458,KFC,1,PA,-0.5,5,5,10,10.5,9,8.5,3.9899999999999998,3.9499999999999997
462,Roy's,1,PA,2,5,4.75,12.5,12,15.5,17.5,3.17,2.91
468,Burger King,0,PA,-29,5,5,18,18,58,29,2.84,2.67
469,Burger King,0,PA,4,5,4.5,18,18,26.5,30.5,2.6,2.6
470,Burger King,0,PA,-2.5,5.5,4.75,18,18,28.5,26,2.75,2.81
474,Burger King,0,PA,4.5,5,4.5,12.5,13,13.5,18,3.12,2.97
481,KFC,1,PA,3.25,5.25,5,10,11,16.75,20,4.22,4
483,KFC,1,PA,4,5,4.75,10,11,9.5,13.5,3.9899999999999998,4.02
487,Roy's,1,PA,4,5,4.75,11.5,11,15,19,2.9699999999999998,3
488,Roy's,0,PA,-14,5,4.75,16,15,29.5,15.5,2.85,2.96
489,Roy's,0,PA,-4,5,4.25,14,11.5,18.5,14.5,3,3.0700000000000003
490,Roy's,1,PA,-6.25,5,5,16,16,20.25,14,3.1100000000000003,3.0700000000000003
493,Roy's,1,PA,-17,5,4.9,16,16,36,19,3.96,2.87
495,Roy's,0,PA,0,5,5,15,16,21,21,3,2.98
496,Roy's,1,PA,-2.5,5,4.75,16,16,20.5,18,2.68,2.91
499,Wendy's,1,PA,1.5,5,5,12,12,19,20.5,3.34,2.53
509,Roy's,1,PA,-0.5,5,4.25,16,15.5,14,13.5,3.16,2.9499999999999997
515,Roy's,1,PA,-1.5,5,4.75,16,16,19,17.5,3.15,2.96
37,Burger King,0,PA,-7,4.25,4.25,16.5,16.5,32.5,25.5,2.6599999999999997,2.6799999999999997
40,Burger King,0,PA,-1.5,4.25,4.25,16.5,17.5,27,25.5,2.5999999999999996,2.67
41,Burger King,0,PA,7.5,4.25,4.25,16.5,17.5,19.5,27,2.65,2.63
42,Burger King,0,PA,-8,4.5,4.25,16.5,16.5,24,16,2.67,NA
