balance,income,student_status,marriage_status,limit
890,49.927,Not student,Married,6396
194,24.314,Not student,Married,3409
298,21.153,Not student,Not married,3736
47,34.537,Not student,Married,3271
0,25.974,Not student,Not married,2308
912,23.283,Not student,Married,5443
0,16.529,Not student,Not married,1357
155,26.067,Not student,Married,3388
1587,68.713,Student,Not married,7582
637,39.422,Not student,Not married,5245
1176,59.53,Not student,Not married,7518
732,17.765,Not student,Married,5072
391,110.968,Not student,Married,6662
0,39.116,Not student,Not married,2150
772,39.055,Not student,Married,5565
849,101.788,Not student,Married,8029
0,80.861,Not student,Married,4090
108,21.238,Not student,Not married,3089
964,148.924,Not student,Not married,9504
0,15.184,Not student,Married,2420
344,13.647,Not student,Married,3461
799,29.567,Not student,Not married,5309
0,30.406,Not student,Married,2120
0,30.733,Not student,Not married,2832
454,148.08,Not student,Married,8157
602,12,Not student,Married,4160
1573,121.834,Not student,Not married,10673
414,44.061,Not student,Married,4970
0,39.11,Not student,Not married,3189
868,23.793,Student,Married,3821
204,14.595,Not student,Married,2955
50,34.95,Not student,Not married,3327
271,16.482,Not student,Not married,3326
482,66.989,Not student,Married,5614
984,49.166,Not student,Not married,6662
188,55.054,Not student,Married,4381
0,20.791,Not student,Not married,2672
0,15.629,Not student,Married,2493
0,35.177,Not student,Not married,2117
0,17.316,Not student,Not married,1335
516,46.102,Not student,Married,5180
905,82.706,Not student,Married,7506
0,39.609,Not student,Married,2539
382,14.292,Not student,Married,3274
70,45.12,Not student,Married,3762
347,30.111,Not student,Married,4336
1246,44.847,Student,Not married,5765
573,27.512,Not student,Married,4613
0,44.522,Not student,Married,2252
823,27.825,Not student,Married,5227
8,44.473,Not student,Not married,3500
0,36.142,Not student,Not married,1852
68,17.392,Not student,Married,2748
904,62.602,Not student,Not married,7056
133,29.725,Not student,Not married,3536
0,11.603,Not student,Married,2278
0,14.084,Not student,Married,855
968,37.348,Not student,Not married,6378
159,26.37,Not student,Married,3235
293,65.896,Not student,Married,5140
1216,10.842,Student,Married,4391
992,35.61,Not student,Not married,6135
379,57.1,Not student,Married,4742
1350,71.061,Student,Married,6819
0,36.364,Not student,Not married,2220
156,41.419,Student,Not married,2120
606,41.365,Not student,Not married,5303
503,23.672,Not student,Not married,4433
0,22.561,Not student,Not married,1787
0,37.728,Not student,Married,2525
955,12.456,Not student,Married,5395
681,34.909,Not student,Married,5289
1129,37.878,Not student,Not married,6827
529,163.329,Not student,Married,8732
0,27.47,Not student,Married,2820
357,24.889,Not student,Married,3954
631,35.51,Not student,Not married,5198
0,55.056,Not student,Married,3155
840,19.782,Student,Not married,3782
531,51.872,Not student,Not married,5294
419,23.35,Student,Not married,2558
891,49.57,Not student,Married,6384
75,54.663,Not student,Not married,4116
0,27.578,Not student,Married,2531
1020,56.256,Student,Married,5521
510,40.442,Not student,Not married,4828
1192,160.231,Not student,Not married,10748
431,17.976,Student,Not married,2433
1393,135.118,Not student,Married,10578
0,43.54,Not student,Not married,2906
1036,33.694,Student,Not married,4891
0,53.319,Not student,Not married,3000
532,30.622,Student,Not married,3293
0,53.598,Not student,Married,3714
1142,52.179,Not student,Not married,7306
1050,180.379,Student,Married,9310
255,18.145,Not student,Married,3461
423,10.635,Not student,Married,3584
15,88.83,Not student,Married,4952
1086,63.809,Not student,Married,7530
1264,61.069,Not student,Married,7871
209,23.106,Not student,Not married,3476
0,30.002,Not student,Married,1561
1018,21.455,Not student,Married,5829
651,27.999,Not student,Married,5107
0,18.951,Not student,Not married,1485
0,15.717,Student,Married,905
1208,71.682,Not student,Married,8028
0,53.308,Not student,Married,2860
1809,186.634,Not student,Married,13414
1448,158.889,Not student,Married,11589
0,11.741,Not student,Not married,2271
463,14.479,Not student,Married,3907
1779,152.298,Not student,Married,12066
605,91.876,Not student,Married,6754
805,17.055,Not student,Married,5110
415,31.029,Student,Married,2863
0,23.365,Not student,Not married,2179
671,14.09,Not student,Married,4323
481,51.532,Not student,Married,5096
121,41.192,Not student,Married,3673
467,32.793,Not student,Not married,4534
138,57.872,Not student,Married,4171
0,14.711,Not student,Married,2047
930,83.869,Not student,Not married,7667
802,23.883,Not student,Married,5384
0,19.225,Not student,Not married,1433
380,62.328,Not student,Not married,5228
98,22.574,Student,Married,1551
1405,180.682,Not student,Married,11966
580,21.786,Not student,Married,4632
1003,55.412,Student,Married,5354
915,26.813,Not student,Not married,5611
926,32.856,Not student,Not married,5884
541,53.401,Not student,Not married,5319
302,61.62,Not student,Married,5140
0,15.354,Not student,Not married,2101
663,22.939,Not student,Married,4923
0,23.857,Not student,Married,1501
0,15.045,Not student,Not married,1311
0,28.144,Not student,Married,1567
0,18.036,Not student,Not married,1552
570,25.383,Not student,Married,4527
578,64.173,Not student,Married,6127
642,19.529,Not student,Not married,4673
581,63.931,Not student,Married,5728
0,16.819,Not student,Married,1337
163,27.952,Not student,Married,3557
863,34.142,Not student,Married,5666
1151,80.18,Not student,Not married,8047
203,20.996,Not student,Not married,3388
1103,58.781,Not student,Married,7402
0,20.088,Not student,Not married,1870
385,44.158,Not student,Married,4763
1361,125.48,Not student,Married,10230
669,103.893,Not student,Not married,7416
843,92.386,Not student,Married,7685
0,34.772,Not student,Not married,2021
531,11.795,Not student,Not married,3899
1155,113.659,Student,Married,7659
246,41.025,Not student,Married,4229
1329,69.656,Not student,Married,8244
0,20.15,Not student,Married,2646
133,76.273,Not student,Married,4779
118,58.063,Not student,Not married,4221
0,21.374,Not student,Married,2073
962,34.48,Not student,Not married,6090
701,121.709,Not student,Married,7818
571,10.403,Not student,Married,4159
503,48.577,Not student,Married,5145
549,40.885,Not student,Married,5013
1099,27.33,Not student,Married,6179
531,41.532,Not student,Married,5000
1140,115.52,Not student,Not married,9272
29,33.017,Not student,Married,3180
0,30.682,Not student,Not married,1671
156,69.165,Not student,Not married,4668
413,12.068,Not student,Married,3873
836,12.238,Not student,Not married,4865
1999,182.728,Not student,Married,13913
1341,91.362,Not student,Married,9113
1084,49.502,Not student,Married,6819
333,10.354,Not student,Married,3480
182,21.011,Not student,Married,3402
0,27.59,Not student,Married,2586
0,21.038,Not student,Married,1448
429,31.811,Not student,Married,4284
0,32.164,Not student,Married,2937
942,29.638,Not student,Married,5833
485,10.852,Not student,Not married,3907
283,36.934,Not student,Married,4270
425,41.868,Not student,Not married,4716
172,31.335,Not student,Not married,3526
661,115.123,Not student,Not married,7760
1425,39.831,Student,Married,6045
1411,68.206,Student,Not married,6784
426,13.234,Not student,Married,3922
0,38.009,Not student,Not married,3075
526,134.181,Not student,Not married,7838
108,76.348,Not student,Not married,4697
1107,149.316,Not student,Not married,10278
1050,146.183,Not student,Not married,9540
653,42.357,Not student,Married,5550
588,29.4,Not student,Married,4840
863,16.711,Not student,Married,5274
1243,128.669,Not student,Married,9824
579,15.56,Not student,Married,4307
607,44.205,Not student,Married,5441
0,18.967,Not student,Married,1626
1093,30.007,Not student,Married,6481
548,76.782,Not student,Married,5977
681,14.956,Not student,Not married,4640
724,14.887,Not student,Married,4745
5,16.279,Student,Married,1160
745,15.846,Not student,Not married,4768
1237,58.026,Not student,Not married,7499
1032,59.879,Not student,Not married,6906
1230,98.515,Not student,Not married,8760
148,19.144,Not student,Not married,3291
0,31.367,Not student,Married,1829
0,10.742,Not student,Not married,1757
384,22.379,Not student,Married,3965
732,151.947,Not student,Married,9156
218,85.425,Not student,Married,5182
216,23.793,Not student,Not married,3615
126,58.351,Not student,Married,4411
0,27.241,Not student,Married,1402
734,49.794,Not student,Not married,5758
0,24.46,Not student,Married,1924
815,55.367,Not student,Married,6340
227,107.986,Not student,Married,6033
1000,20.974,Not student,Married,5673
0,25.988,Not student,Not married,1349
0,15.333,Not student,Married,1499
265,27.229,Not student,Not married,3484
450,30.42,Not student,Not married,4442
945,16.103,Not student,Married,5390
411,64.027,Not student,Married,5179
829,23.949,Not student,Married,5343
211,39.705,Not student,Married,3969
538,55.187,Not student,Married,5352
711,24.919,Not student,Married,5051
1311,83.851,Not student,Not married,8494
1048,36.508,Not student,Married,6386
638,10.793,Not student,Not married,3878
903,106.025,Student,Married,6645
907,21.551,Not student,Married,5380
0,92.112,Not student,Not married,4612
1355,72.945,Not student,Not married,8603
768,69.251,Not student,Married,6386
1048,42.079,Not student,Not married,6626
210,12.031,Not student,Married,3182
81,25.078,Not student,Married,3096
136,15.866,Not student,Not married,3085
0,41.4,Not student,Married,2561
187,36.355,Not student,Married,3613
967,30.55,Not student,Not married,5869
712,53.566,Not student,Not married,5891
717,19.349,Not student,Married,4941
728,30.413,Student,Not married,3690
790,113.772,Student,Married,6442
195,10.627,Student,Married,1647
191,10.503,Not student,Married,2923
375,36.295,Student,Not married,2963
0,30.132,Not student,Not married,2168
0,11.808,Not student,Not married,1300
1380,14.312,Student,Not married,5382
0,27.272,Not student,Married,1389
1241,19.531,Student,Married,5043
1054,20.405,Student,Not married,4543
148,29.705,Not student,Married,3351
1023,20.191,Not student,Married,5767
653,38.954,Not student,Not married,5222
601,23.989,Not student,Not married,4523
0,25.936,Not student,Not married,1774
1081,43.682,Not student,Married,6922
1092,33.657,Not student,Not married,6196
856,58.165,Not student,Married,6617
0,57.202,Not student,Not married,3411
611,12.335,Not student,Married,4471
0,15.602,Not student,Married,906
336,28.508,Not student,Married,3933
69,50.699,Not student,Not married,3977
654,42.471,Student,Not married,3625
0,27.039,Not student,Not married,2161
0,34.509,Not student,Married,2001
204,80.616,Not student,Married,5308
0,13.676,Not student,Not married,2330
230,51.345,Not student,Not married,4327
957,16.304,Not student,Married,5466
789,58.929,Not student,Married,6420
1677,140.672,Not student,Married,11200
654,36.362,Not student,Married,5183
0,20.089,Not student,Married,2525
1075,15.079,Not student,Married,5673
16,20.918,Student,Married,1233
410,10.735,Not student,Married,3746
474,12.581,Not student,Married,3976
534,35.864,Not student,Married,4831
844,23.375,Not student,Married,5429
0,29.564,Not student,Married,2529
345,89,Not student,Not married,5759
0,42.915,Not student,Married,2532
133,14.132,Not student,Not married,2998
1048,73.914,Not student,Married,7333
52,15.476,Not student,Not married,2762
905,26.4,Not student,Not married,5640
145,20.936,Not student,Not married,3254
657,25.124,Not student,Married,4776
1597,107.841,Not student,Not married,10384
0,75.406,Not student,Married,3874
1298,63.534,Not student,Married,8100
633,48.218,Not student,Married,5199
835,34.664,Not student,Married,5835
480,13.364,Not student,Not married,3838
0,31.353,Not student,Married,1705
0,60.449,Not student,Married,3098
1255,16.751,Student,Not married,4706
689,15.741,Not student,Married,4788
368,36.496,Not student,Married,4378
309,24.088,Not student,Married,3665
1259,123.299,Student,Not married,8376
0,13.444,Not student,Married,886
99,53.48,Not student,Not married,4263
1046,46.007,Not student,Married,6637
580,104.593,Not student,Not married,7075
594,24.23,Not student,Married,4756
132,28.474,Not student,Married,3202
199,19.588,Not student,Not married,3211
1549,33.437,Student,Not married,6207
162,27.369,Not student,Married,3449
0,13.433,Not student,Married,1134
1388,113.829,Not student,Married,9704
269,54.319,Student,Not married,3063
89,17.7,Not student,Not married,2860
1404,26.427,Student,Married,5533
295,59.855,Not student,Married,4964
1426,130.209,Not student,Married,10088
0,32.916,Not student,Married,1786
902,43.479,Student,Married,4569
0,10.726,Not student,Married,1568
710,19.636,Not student,Not married,4896
661,33.214,Not student,Not married,5137
