movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older_gender
Harold and Maude,1971,Hal Ashby,52,1,Ruth Gordon,Bud Cort,woman,man,1896-10-30,1948-03-29T00:00:00Z,75,23,woman older
The Mother,2003,Roger Michell,33,1,Anne Reid,Daniel Craig,woman,man,12932,1968-03-02T00:00:00Z,68,35,woman older
Tadpole,2002,Gary Winick,27,1,Sigourney Weaver,Aaron Stanford,woman,man,18179,1976-12-27T00:00:00Z,53,26,woman older
The Prom,2020,Ryan Murphy,22,1,Meryl Streep,Keegan-Michael Key,woman,man,18071,1971-03-22T00:00:00Z,71,49,woman older
Don Jon,2013,Joseph Gordon-Levitt,21,1,Julianne Moore,Joseph Gordon-Levitt,woman,man,22253,1981-02-17T00:00:00Z,53,32,woman older
Notes on a Scandal,2006,Richard Eyre,20,1,Cate Blanchett,Andrew Simpson,woman,man,25337,1989-01-01T00:00:00Z,37,17,woman older
American Pie,1999,"Paul Weitz, Chris Weitz",19,1,Jennifer Coolidge,Eddie Kay Thomas,woman,man,22521,1980-10-31T00:00:00Z,38,19,woman older
Something's Gotta Give,2003,Nancy Meyers,18,2,Diane Keaton,Keanu Reeves,woman,man,16807,1964-09-02T00:00:00Z,57,39,woman older
Tadpole,2002,Gary Winick,18,2,Bebe Neuwirth,Aaron Stanford,woman,man,21550,1976-12-27T00:00:00Z,44,26,woman older
The Only Living Boy in New York,2017,Marc Webb,17,2,Kate Beckinsale,Callum Turner,woman,man,26871,1990-02-15T00:00:00Z,44,27,woman older
The Lost City,2022,"Adam Nee, Aaron Nee",16,1,Sandra Bullock,Channing Tatum,woman,man,23584,1980-04-26T00:00:00Z,58,42,woman older
Home Again,2017,Hallie Meyers-Shyer,15,1,Reese Witherspoon,Pico Alexander,woman,man,27840,1991-06-03T00:00:00Z,41,26,woman older
Sex and the City,2008,Michael Patrick King,15,1,Kim Cattrall,Jason Lewis,woman,man,20688,1971-06-25T00:00:00Z,52,37,woman older
The Reader,2008,Stephen Daldry,15,1,Kate Winslet,David Kross,woman,man,27672,1990-07-04T00:00:00Z,33,18,woman older
The Beach,2000,Danny Boyle,14,1,Tilda Swinton,Leonardo DiCaprio,woman,man,22255,1974-11-11T00:00:00Z,40,26,woman older
How Stella Got Her Groove Back,1998,Kevin Rodney Sullivan,13,1,Angela Bassett,Taye Diggs,woman,man,21413,1971-01-02T00:00:00Z,40,27,woman older
The Proposal,2009,Anne Fletcher,12,1,Sandra Bullock,Ryan Reynolds,woman,man,23584,1976-10-23T00:00:00Z,45,33,woman older
Barfly,1987,Barbet Schroeder,11,1,Faye Dunaway,Mickey Rourke,woman,man,14990,1952-09-16T00:00:00Z,46,35,woman older
Black Panther,2018,Ryan Coogler,11,1,Danai Gurira,Daniel Kaluuya,woman,man,28535,1989-02-24T00:00:00Z,40,29,woman older
Boogie Nights,1997,Paul Thomas Anderson,11,1,Julianne Moore,Mark Wahlberg,woman,man,22253,1971-06-05T00:00:00Z,37,26,woman older
