id,title_type,title,year,runtime,genre,score,num_votes,christmas,hanukkah,kwanzaa,holiday
tt0020356,Feature Film,Sailor's Holiday,1929,58,Comedy,5.4,55,FALSE,FALSE,FALSE,TRUE
tt0020823,Feature Film,The Devil's Holiday,1930,80,Drama,6,242,FALSE,FALSE,FALSE,TRUE
tt0020985,Feature Film,Holiday,1930,91,Comedy,6.3,638,FALSE,FALSE,FALSE,TRUE
tt0021268,Feature Film,Holiday of St. Jorgen,1930,83,Comedy,7.4,256,FALSE,FALSE,FALSE,TRUE
tt0021377,Feature Film,Sin Takes a Holiday,1930,81,Comedy,6.1,740,FALSE,FALSE,FALSE,TRUE
tt0021381,Feature Film,Sinners' Holiday,1930,60,Other,6.3,688,FALSE,FALSE,FALSE,TRUE
tt0023039,Feature Film,Husband's Holiday,1931,70,Drama,6.4,27,FALSE,FALSE,FALSE,TRUE
tt0024869,Feature Film,Beggar's Holiday,1934,60,Other,5.6,15,FALSE,FALSE,FALSE,TRUE
tt0025006,Feature Film,Cowboy Holiday,1934,56,Other,4.8,74,FALSE,FALSE,FALSE,TRUE
tt0025037,Feature Film,Death Takes a Holiday,1934,79,Drama,6.9,2361,FALSE,FALSE,FALSE,TRUE
tt0027456,Feature Film,College Holiday,1936,86,Comedy,5.7,190,FALSE,FALSE,FALSE,TRUE
tt0027923,Feature Film,Mad Holiday,1936,71,Comedy,6,212,FALSE,FALSE,FALSE,TRUE
tt0028310,Feature Film,Stolen Holiday,1937,80,Drama,6.3,615,FALSE,FALSE,FALSE,TRUE
tt0028576,Feature Film,Angel's Holiday,1937,76,Comedy,6.4,32,FALSE,FALSE,FALSE,TRUE
tt0028763,Feature Film,Dangerous Holiday,1937,58,Drama,5.8,57,FALSE,FALSE,FALSE,TRUE
tt0028843,Feature Film,Every Day's a Holiday,1937,79,Comedy,6.2,466,FALSE,FALSE,FALSE,TRUE
tt0029894,Feature Film,Bank Holiday,1938,86,Comedy,6.4,530,FALSE,FALSE,FALSE,TRUE
tt0029992,Feature Film,A Christmas Carol,1938,69,Drama,7.5,8312,TRUE,FALSE,FALSE,FALSE
tt0030027,Feature Film,Crime Takes a Holiday,1938,59,Other,6.5,25,FALSE,FALSE,FALSE,TRUE
tt0030241,Feature Film,Holiday,1938,95,Comedy,7.7,17619,FALSE,FALSE,FALSE,TRUE
tt0030897,Feature Film,Tropic Holiday,1938,78,Comedy,5.5,106,FALSE,FALSE,FALSE,TRUE
tt0031490,Feature Film,Inspector Hornleigh on Holiday,1939,90,Comedy,6.8,232,FALSE,FALSE,FALSE,TRUE
tt0032338,Feature Film,Christmas in July,1940,67,Comedy,7.4,4172,TRUE,FALSE,FALSE,FALSE
tt0034862,Feature Film,Holiday Inn,1942,100,Comedy,7.3,16722,FALSE,FALSE,FALSE,TRUE
tt0036014,Feature Film,Hoosier Holiday,1943,65,Comedy,6.7,19,FALSE,FALSE,FALSE,TRUE
tt0036711,Feature Film,Christmas Holiday,1944,93,Other,6.5,1583,TRUE,FALSE,FALSE,TRUE
tt0036988,Feature Film,Knickerbocker Holiday,1944,85,Comedy,5.3,196,FALSE,FALSE,FALSE,TRUE
tt0037242,Feature Film,Sailor's Holiday,1944,60,Comedy,6,21,FALSE,FALSE,FALSE,TRUE
tt0037595,Feature Film,Christmas in Connecticut,1945,101,Comedy,7.3,11196,TRUE,FALSE,FALSE,FALSE
tt0038125,Feature Film,Strange Holiday,1945,61,Drama,5.4,239,FALSE,FALSE,FALSE,TRUE
tt0038606,Feature Film,Holiday in Mexico,1946,128,Comedy,6.1,490,FALSE,FALSE,FALSE,TRUE
tt0038833,Feature Film,Perilous Holiday,1946,89,Other,6,33,FALSE,FALSE,FALSE,TRUE
tt0039203,Feature Film,Blondie's Holiday,1947,67,Comedy,6.5,195,FALSE,FALSE,FALSE,TRUE
tt0039231,Feature Film,Bush Christmas,1947,80,Other,6.2,515,TRUE,FALSE,FALSE,FALSE
tt0039266,Feature Film,Christmas Eve,1947,90,Comedy,5.7,805,TRUE,FALSE,FALSE,FALSE
tt0039473,Feature Film,Hoppy's Holiday,1947,60,Other,6.5,148,FALSE,FALSE,FALSE,TRUE
tt0039562,Feature Film,A Christmas Carol,1947,80,Drama,5.4,32,TRUE,FALSE,FALSE,FALSE
tt0040443,Feature Film,Holiday Camp,1947,93,Other,6.6,537,FALSE,FALSE,FALSE,TRUE
tt0040848,Feature Film,Summer Holiday,1948,93,Other,5.8,638,FALSE,FALSE,FALSE,TRUE
tt0041473,Feature Film,Holiday Affair,1949,87,Comedy,7.1,6591,FALSE,FALSE,FALSE,TRUE
tt0041475,Feature Film,Holiday in Havana,1949,73,Comedy,5.9,125,FALSE,FALSE,FALSE,TRUE
tt0041528,Feature Film,Johnny Holiday,1949,92,Other,7.3,104,FALSE,FALSE,FALSE,TRUE
tt0042568,Feature Film,Holiday Rhythm,1950,60,Other,6.6,34,FALSE,FALSE,FALSE,TRUE
tt0042665,Feature Film,Last Holiday,1950,88,Drama,7.3,2067,FALSE,FALSE,FALSE,TRUE
tt0044008,Feature Film,A Christmas Carol,1951,86,Drama,8.1,24671,TRUE,FALSE,FALSE,FALSE
tt0044708,Feature Film,Holiday Week,1952,82,Drama,6.1,206,FALSE,FALSE,FALSE,TRUE
tt0044715,Feature Film,Holiday for Sinners,1952,72,Drama,5.9,184,FALSE,FALSE,FALSE,TRUE
tt0046250,Feature Film,Roman Holiday,1953,118,Comedy,8,145289,FALSE,FALSE,FALSE,TRUE
tt0046487,Feature Film,Monsieur Hulot's Holiday,1953,114,Comedy,7.3,19875,FALSE,FALSE,FALSE,TRUE
tt0047673,Feature Film,White Christmas,1954,120,Comedy,7.6,47688,TRUE,FALSE,FALSE,FALSE
tt0047939,Feature Film,Cinerama Holiday,1955,119,Other,7.3,142,FALSE,FALSE,FALSE,TRUE
tt0048104,Feature Film,Holiday for Henrietta,1952,118,Comedy,7.4,391,FALSE,FALSE,FALSE,TRUE
tt0051147,Feature Film,Holiday Island,1957,105,Comedy,6.1,70,FALSE,FALSE,FALSE,TRUE
tt0051493,Feature Film,Country Music Holiday,1958,81,Other,5.9,82,FALSE,FALSE,FALSE,TRUE
tt0052047,Feature Film,Paris Holiday,1958,103,Other,5.7,513,FALSE,FALSE,FALSE,TRUE
tt0052284,Feature Film,"At That Time, at Christmas...",1958,85,Drama,6.5,20,TRUE,FALSE,FALSE,FALSE
tt0052897,Feature Film,Holiday for Lovers,1959,103,Comedy,5.6,426,FALSE,FALSE,FALSE,TRUE
tt0054271,Feature Film,Holiday in Spain,1960,125,Other,5.5,399,FALSE,FALSE,FALSE,TRUE
tt0056334,Feature Film,Passion Holiday,1963,75,Comedy,6.1,12,FALSE,FALSE,FALSE,TRUE
tt0057541,Feature Film,Summer Holiday,1963,107,Comedy,6.1,1816,FALSE,FALSE,FALSE,TRUE
tt0057637,Feature Film,The Night Before Christmas,1961,68,Comedy,7.5,1934,TRUE,FALSE,FALSE,FALSE
tt0057916,TV Movie,Carol for Another Christmas,1964,84,Drama,6.5,1246,TRUE,FALSE,FALSE,FALSE
tt0058197,Feature Film,Holiday in St. Tropez,1964,96,Comedy,5.7,37,FALSE,FALSE,FALSE,TRUE
tt0059004,Feature Film,Every Day Is a Holiday,1965,90,Comedy,5.4,70,FALSE,FALSE,FALSE,TRUE
tt0059026,TV Movie,A Charlie Brown Christmas,1965,25,Animation,8.3,42101,TRUE,FALSE,FALSE,FALSE
tt0059032,Feature Film,The Christmas That Almost Wasn't,1966,94,Family,3.5,917,TRUE,FALSE,FALSE,FALSE
tt0060236,Feature Film,The Christmas Tree,1966,59,Family,6.4,168,TRUE,FALSE,FALSE,FALSE
tt0060345,TV Movie,How the Grinch Stole Christmas!,1966,26,Animation,8.3,56692,TRUE,FALSE,FALSE,FALSE
tt0061844,Feature Film,The Christmas Kid,1967,85,Drama,5.4,66,TRUE,FALSE,FALSE,FALSE
tt0064037,Feature Film,The Christmas Tree,1969,110,Drama,6.3,719,TRUE,FALSE,FALSE,FALSE
tt0065040,Feature Film,Strange Holiday,1970,75,Other,4.4,85,FALSE,FALSE,FALSE,TRUE
tt0066975,TV Movie,Death Takes a Holiday,1971,73,Drama,7.2,291,FALSE,FALSE,FALSE,TRUE
tt0067209,TV Movie,The Homecoming: A Christmas Story,1971,100,Drama,8.3,2039,TRUE,FALSE,FALSE,FALSE
tt0067400,Feature Film,The Christmas Martian,1971,65,Family,4.8,186,TRUE,FALSE,FALSE,FALSE
tt0068683,Feature Film,Main Thing Holidays,1972,103,Comedy,4.8,90,FALSE,FALSE,FALSE,TRUE
tt0068708,TV Movie,Home for the Holidays,1972,73,Drama,6.2,1265,FALSE,FALSE,FALSE,TRUE
