"id","state","time","wage","fte"
"46","PA","before",NA,40.5
"46","PA","after",4.3,24
"49","PA","before",NA,13.75
"49","PA","after",4.45,11.5
"506","PA","before",NA,8.5
"506","PA","after",5,10.5
"56","PA","before",5,34
"56","PA","after",5.25,20
"61","PA","before",5.5,24
"61","PA","after",4.75,35.5
"62","PA","before",5,20.5
"62","PA","after",NA,NA
"445","PA","before",5,70.5
"445","PA","after",4.75,29
"451","PA","before",5,23.5
"451","PA","after",5,36.5
"455","PA","before",5.25,11
"455","PA","after",5,11
"458","PA","before",5,9
"458","PA","after",5,8.5
"462","PA","before",5,15.5
"462","PA","after",4.75,17.5
"468","PA","before",5,58
"468","PA","after",5,29
"469","PA","before",5,26.5
"469","PA","after",4.5,30.5
"470","PA","before",5.5,28.5
"470","PA","after",4.75,26
"474","PA","before",5,13.5
"474","PA","after",4.5,18
"481","PA","before",5.25,16.75
"481","PA","after",5,20
"483","PA","before",5,9.5
"483","PA","after",4.75,13.5
"487","PA","before",5,15
"487","PA","after",4.75,19
"488","PA","before",5,29.5
"488","PA","after",4.75,15.5
"489","PA","before",5,18.5
"489","PA","after",4.25,14.5
"490","PA","before",5,20.25
"490","PA","after",5,14
"493","PA","before",5,36
"493","PA","after",4.9,19
"495","PA","before",5,21
"495","PA","after",5,21
"496","PA","before",5,20.5
"496","PA","after",4.75,18
"499","PA","before",5,19
"499","PA","after",5,20.5
"509","PA","before",5,14
"509","PA","after",4.25,13.5
"515","PA","before",5,19
"515","PA","after",4.75,17.5
"37","PA","before",4.25,32.5
"37","PA","after",4.25,25.5
"39","PA","before",4.25,19
"39","PA","after",NA,15.5
"40","PA","before",4.25,27
"40","PA","after",4.25,25.5
"41","PA","before",4.25,19.5
"41","PA","after",4.25,27
"42","PA","before",4.5,24
"42","PA","after",4.25,16
"45","PA","before",4.25,18
"45","PA","after",4.25,19
"47","PA","before",4.5,NA
"47","PA","after",4.25,24.5
"48","PA","before",4.25,19
"48","PA","after",4.38,25
"50","PA","before",4.5,14
"50","PA","after",4.75,17
"51","PA","before",4.25,10.5
"51","PA","after",4.25,16.5
"57","PA","before",4.67,38
"57","PA","after",4.5,20
"58","PA","before",4.75,23.5
"58","PA","after",4.5,18
"59","PA","before",4.25,10.5
"59","PA","after",4.25,12
"60","PA","before",4.25,25
"60","PA","after",4.25,25
"407","PA","before",4.75,11
"407","PA","after",4.25,11
"430","PA","before",4.25,36.5
"430","PA","after",4.25,27
"432","PA","before",4.5,52.5
"432","PA","after",5.05,34
"433","PA","before",4.25,29
"433","PA","after",NA,25
"434","PA","before",4.25,45
"434","PA","after",4.25,37.5
"435","PA","before",4.25,22.75
"435","PA","after",4.25,21
"438","PA","before",4.25,7.5
"438","PA","after",4.25,9.5
"440","PA","before",4.25,15.5
"440","PA","after",NA,18
"441","PA","before",4.25,38
"441","PA","after",4.25,18
"443","PA","before",4.25,17.5
"443","PA","after",4.35,19
"444","PA","before",4.25,25
"444","PA","after",4.5,31.5
"446","PA","before",4.5,NA
"446","PA","after",5,23
"448","PA","before",4.75,21
"448","PA","after",4.5,24.5
"449","PA","before",4.87,15.5
"449","PA","after",5,27.5
"450","PA","before",4.75,15.5
"450","PA","after",4.75,34.5
"454","PA","before",4.5,8.5
"454","PA","after",5,14
"459","PA","before",4.25,18
"459","PA","after",4.35,15
"466","PA","before",4.75,20.75
"466","PA","after",NA,23
"471","PA","before",4.25,39
"471","PA","after",4.25,26.5
"472","PA","before",4.25,41.5
"472","PA","after",4.9,23.5
"473","PA","before",4.75,22.5
"473","PA","after",4.5,35.5
"475","PA","before",4.5,32
"475","PA","after",4.5,21
"476","PA","before",4.25,24
"476","PA","after",4.75,23
"477","PA","before",4.25,26
"477","PA","after",6.25,20
"478","PA","before",4.5,48.5
"478","PA","after",4.35,27
"485","PA","before",4.5,8.5
"485","PA","after",4.5,13
"491","PA","before",4.5,18.5
"491","PA","after",NA,0
"492","PA","before",4.5,13
"492","PA","after",4.5,13.5
"497","PA","before",4.5,22.5
"497","PA","after",NA,NA
"498","PA","before",4.75,28
"498","PA","after",5,26.75
"501","PA","before",4.25,24.5
"501","PA","after",4.75,43.5
"503","PA","before",4.75,18.5
"503","PA","after",4.5,41.25
"510","PA","before",4.25,23.5
"510","PA","after",NA,14.25
"511","PA","before",4.75,15
"511","PA","after",4.75,12.5
"514","PA","before",4.5,18
"514","PA","after",4.25,34
"516","PA","before",4.75,20.25
"516","PA","after",4.91,10
"521","PA","before",4.25,15.5
"521","PA","after",4.4,14
"522","PA","before",4.35,21
"522","PA","after",4.25,17.5
"113","NJ","before",NA,15
"113","NJ","after",5.05,27
"123","NJ","before",NA,15
"123","NJ","after",5.05,21.5
"135","NJ","before",NA,24
"135","NJ","after",5.05,23
"138","NJ","before",NA,19.25
"138","NJ","after",5.05,21.5
"153","NJ","before",NA,21.5
"153","NJ","after",5.05,34.5
"181","NJ","before",NA,9.5
"181","NJ","after",5.05,10.5
"191","NJ","before",NA,44
"191","NJ","after",5.05,16.5
"231","NJ","before",NA,NA
"231","NJ","after",5.05,23
"236","NJ","before",NA,21
"236","NJ","after",5.05,38
"254","NJ","before",NA,28
"254","NJ","after",5.25,36
"255","NJ","before",NA,10
"255","NJ","after",NA,16
"294","NJ","before",NA,20.5
"294","NJ","after",5.05,20.5
"306","NJ","before",NA,25.5
"306","NJ","after",5.05,19
"311","NJ","before",NA,19
"311","NJ","after",5.05,53
"315","NJ","before",NA,16.5
"315","NJ","after",5.05,16.5
"335","NJ","before",NA,17
"335","NJ","after",5.05,16.5
"372","NJ","before",NA,27.5
"372","NJ","after",5.05,45
"6","NJ","before",5,5
"6","NJ","after",5.05,8
"14","NJ","before",5.12,16
"14","NJ","after",5.05,15.5
"26","NJ","before",5.56,41.5
"26","NJ","after",5.05,24
"27","NJ","before",5,13
"27","NJ","after",5.05,7.5
"30","NJ","before",5,10
"30","NJ","after",5.05,7.5
"31","NJ","before",5.25,15
"31","NJ","after",5.05,18.5
"33","NJ","before",5,26
"33","NJ","after",5.05,16.5
"36","NJ","before",5.5,18
"36","NJ","after",5.05,33.5
"77","NJ","before",5,35
"77","NJ","after",5.05,37
"78","NJ","before",5,21
"78","NJ","after",5.05,18
"81","NJ","before",5,34.5
"81","NJ","after",5.05,26.5
"82","NJ","before",5,18.25
"82","NJ","after",5.05,33
"83","NJ","before",5,24.5
"83","NJ","after",5.05,NA
"85","NJ","before",5.5,20
"85","NJ","after",5.05,20.5
"89","NJ","before",5,16
"89","NJ","after",5.5,24.5
"94","NJ","before",5,17.5
"94","NJ","after",5.05,16
"103","NJ","before",5,20.5
"103","NJ","after",5.05,NA
"112","NJ","before",5,20
"112","NJ","after",5.05,23.5
"128","NJ","before",5,12.25
"128","NJ","after",5.05,13
"129","NJ","before",5.25,33
"129","NJ","after",5.05,20
"131","NJ","before",5.5,31.5
"131","NJ","after",5.05,22
"139","NJ","before",5.5,NA
"139","NJ","after",5.5,28.5
"143","NJ","before",5.37,18
"143","NJ","after",NA,NA
"144","NJ","before",5.05,28
"144","NJ","after",5.05,25.5
"145","NJ","before",5,16.5
"145","NJ","after",5.28,18
"147","NJ","before",5.12,14.75
"147","NJ","after",5.25,9
"148","NJ","before",5.25,23.5
"148","NJ","after",5.05,26.5
"151","NJ","before",5,10
"151","NJ","after",NA,0
"152","NJ","before",5.12,46.5
"152","NJ","after",5.05,23.75
"157","NJ","before",5,15.5
"157","NJ","after",5.5,18
"161","NJ","before",5,24.5
"161","NJ","after",5.05,36
"163","NJ","before",5,24
"163","NJ","after",5.05,21
"164","NJ","before",5,23
"164","NJ","after",5.05,15.5
"165","NJ","before",5,28
"165","NJ","after",5.05,22.5
"169","NJ","before",5,32.5
"169","NJ","after",5.05,27
"170","NJ","before",5,23
"170","NJ","after",5.05,34
"187","NJ","before",5.62,17
"187","NJ","after",5.05,16.75
"190","NJ","before",5,30
"190","NJ","after",5.05,26
"196","NJ","before",5,21.5
"196","NJ","after",5.05,18
"197","NJ","before",5,32
"197","NJ","after",5.05,20.5
"234","NJ","before",5,8
"234","NJ","after",5.05,15
"240","NJ","before",5.1,35.5
"240","NJ","after",5.05,25.5
"241","NJ","before",5,31.5
"241","NJ","after",5.05,NA
"242","NJ","before",5.25,33
"242","NJ","after",5.05,20
"245","NJ","before",5.5,22
"245","NJ","after",5.05,18
"259","NJ","before",5,23
"259","NJ","after",5.05,26.5
"268","NJ","before",5,23
"268","NJ","after",5.05,23.25
"271","NJ","before",5,8.5
"271","NJ","after",5.05,10.5
"272","NJ","before",5.05,12.5
"272","NJ","after",5.25,12
"274","NJ","before",5.5,9.5
"274","NJ","after",5.05,9.5
"276","NJ","before",5,13
"276","NJ","after",5.05,15.5
"296","NJ","before",5.3,17
"296","NJ","after",5.05,14.5
"299","NJ","before",5,9
"299","NJ","after",5.05,14
"301","NJ","before",5,19
"301","NJ","after",5.05,6.5
"320","NJ","before",5,11.5
"320","NJ","after",5.05,10
"321","NJ","before",5,13
"321","NJ","after",5.05,11.5
"324","NJ","before",5.25,48
"324","NJ","after",5.05,46.5
"326","NJ","before",5.15,45.5
"326","NJ","after",5.05,26.5
"330","NJ","before",5.42,15
"330","NJ","after",5.67,16
"334","NJ","before",5,18
"334","NJ","after",5.05,13
"349","NJ","before",5,21
"349","NJ","after",5.05,14
"354","NJ","before",5.06,20.5
"354","NJ","after",5.05,15.5
"356","NJ","before",5.05,20.5
"356","NJ","after",5.05,18
"357","NJ","before",5,17.5
"357","NJ","after",5.25,27
"371","NJ","before",5,27.5
"371","NJ","after",5.25,27
"373","NJ","before",5,24
"373","NJ","after",5.05,29.5
"375","NJ","before",5.25,34
"375","NJ","after",5.5,16.5
"378","NJ","before",5,18
"378","NJ","after",5.05,31.5
"381","NJ","before",5,24
"381","NJ","after",5.05,27.5
"403","NJ","before",5.05,NA
"403","NJ","after",5.05,25.5
"406","NJ","before",5,33.5
"406","NJ","after",5.5,32
"407","NJ","before",5.75,12
"407","NJ","after",5.5,14.5
"409","NJ","before",5,35
"409","NJ","after",5.05,10.5
"1","NJ","before",4.5,35
"1","NJ","after",5.05,44
"2","NJ","before",4.75,16
"2","NJ","after",5.25,15.5
"3","NJ","before",4.25,15.5
"3","NJ","after",5.05,10.5
"4","NJ","before",4.75,19
"4","NJ","after",5.05,24
"5","NJ","before",4.5,24
"5","NJ","after",5.15,29
"8","NJ","before",4.8,NA
"8","NJ","after",5.05,30.5
"9","NJ","before",4.37,36
"9","NJ","after",5.05,20
"10","NJ","before",4.25,29
"10","NJ","after",5.05,26.5
"11","NJ","before",4.25,29
"11","NJ","after",5.05,27
"12","NJ","before",4.37,21.25
"12","NJ","after",5.05,26.5
"13","NJ","before",4.5,15.5
"13","NJ","after",5,10.5
"15","NJ","before",4.6,19.5
"15","NJ","after",5.05,18
"16","NJ","before",4.5,21
"16","NJ","after",5.05,18.5
"17","NJ","before",4.37,14
"17","NJ","after",5.05,25.5
"18","NJ","before",4.25,30.5
"18","NJ","after",5.05,32
"19","NJ","before",4.25,23.5
"19","NJ","after",5.05,33
"21","NJ","before",4.45,14
"21","NJ","after",5.05,7.5
"22","NJ","before",4.35,14.5
"22","NJ","after",5.05,12.5
"23","NJ","before",4.5,15.5
"23","NJ","after",5.05,24
"24","NJ","before",4.75,26.5
"24","NJ","after",5.05,29
"28","NJ","before",4.5,8
"28","NJ","after",NA,10
"29","NJ","before",4.5,5.5
"29","NJ","after",5.05,9.5
"32","NJ","before",4.5,23.25
"32","NJ","after",5.05,17.5
"34","NJ","before",4.95,15.5
"34","NJ","after",5.05,17.5
"35","NJ","before",4.5,32.25
"35","NJ","after",5.05,25
"38","NJ","before",4.25,30
"38","NJ","after",5.05,26
"63","NJ","before",4.25,NA
"63","NJ","after",5.05,24
"64","NJ","before",4.5,30.5
"64","NJ","after",5.05,22.5
"65","NJ","before",4.8,14
"65","NJ","after",5.05,NA
"66","NJ","before",4.25,27
"66","NJ","after",5.05,35
"67","NJ","before",4.5,18.5
"67","NJ","after",5.05,17.75
"68","NJ","before",4.25,38
"68","NJ","after",5.05,24.5
"69","NJ","before",4.25,16.5
"69","NJ","after",5.05,16.5
"70","NJ","before",4.5,50
"70","NJ","after",5.05,30
"71","NJ","before",4.75,20.5
"71","NJ","after",5.05,39
"73","NJ","before",4.25,6.5
"73","NJ","after",5.05,17
"75","NJ","before",4.25,13.5
"75","NJ","after",5.05,12.5
"76","NJ","before",4.25,28
"76","NJ","after",5.05,38.5
"79","NJ","before",4.5,21.5
"79","NJ","after",5.05,20
"80","NJ","before",4.25,NA
"80","NJ","after",5.05,21
"84","NJ","before",4.5,24
"84","NJ","after",5.05,32
"86","NJ","before",4.25,20.5
"86","NJ","after",5.05,19
"87","NJ","before",4.5,NA
"87","NJ","after",5.05,20
"88","NJ","before",4.25,23.5
"88","NJ","after",5.05,26.5
"91","NJ","before",4.25,23
"91","NJ","after",5.05,19
"92","NJ","before",4.25,17
"92","NJ","after",5.05,20
"93","NJ","before",4.25,20.5
"93","NJ","after",5.05,22.5
"95","NJ","before",4.25,23.5
"95","NJ","after",5.05,10
"96","NJ","before",4.25,9.5
"96","NJ","after",5.05,12.5
"97","NJ","before",4.25,10
"97","NJ","after",5.05,11
"98","NJ","before",4.25,14
"98","NJ","after",5.05,12.5
"99","NJ","before",4.75,85
"99","NJ","after",5.05,59
"101","NJ","before",4.75,15
"101","NJ","after",5.05,19
"102","NJ","before",4.4,21.5
"102","NJ","after",5.05,15.5
"104","NJ","before",4.62,53
"104","NJ","after",5.05,19
"105","NJ","before",4.25,24
"105","NJ","after",5.05,26.5
"106","NJ","before",4.25,20.5
"106","NJ","after",5.05,17.5
"107","NJ","before",4.25,14.5
"107","NJ","after",5.05,20.5
"108","NJ","before",4.25,25
"108","NJ","after",5.05,28
"111","NJ","before",4.25,27
"111","NJ","after",5.05,30.25
"114","NJ","before",4.75,22.5
"114","NJ","after",5.25,44
"115","NJ","before",4.75,36.5
"115","NJ","after",5.05,17.5
